"species","chrom.num"
"ADCAHA_Pterostichus_alacer",37
"ADCAHA_Pterostichus_angustus",37
"ADCAHA_Pterostichus_anthracinus",37
"ADCAHA_Pterostichus_aterrimus",37
"ADCAHA_Pterostichus_flavofemoratus",37
"ADCAHA_Pterostichus_globosus",37
"ADCAHA_Pterostichus_herculeanus",37
"ADCAHA_Pterostichus_interruptus",37
"ADCAHA_Pterostichus_melanarius",37
"ADCAHA_Pterostichus_nemoralis",37
"ADCAHA_Pterostichus_niger",37
"ADCAHA_Pterostichus_nigrita",37
"ADCAHA_Pterostichus_oblongopunctatus",28
"ADCAHA_Pterostichus_spinolae",37
"ADCAHA_Pterostichus_ziegleri",34
