NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
N1	8.33841e-10	4.56162e-09	3.74666e-08	3.06618e-07	2.28663e-06	1.50012e-05	8.48385e-05	0.000408326	0.00165807	0.00564511	0.0160376	0.0378734	0.074113	0.11987	0.159924	0.175748	0.158952	0.118285	0.0724478	0.0365546	0.0152162	0.00523558	0.00149262	0.00035356	6.97984e-05	1.15225e-05	1.59624e-06	1.86248e-07	1.83724e-08	1.53812e-09	1.09718e-10	6.69641e-12	3.51364e-13	4.26905e-17	8.50634e-18	1.60217e-18	2.92165e-19	5.47649e-20	1.37015e-20	
N2	3.91942e-05	6.48494e-05	0.000138662	0.000326911	0.00077553	0.00177	0.00380454	0.00762267	0.0141623	0.024332	0.038597	0.0564738	0.0761705	0.0946655	0.108377	0.114271	0.110953	0.099203	0.0816764	0.0619273	0.0432447	0.0278178	0.0164872	0.00900581	0.00453509	0.00210617	0.000902439	0.000356907	0.000130351	4.39877e-05	1.37236e-05	3.96142e-06	1.0592e-06	2.62943e-07	6.0966e-08	1.34369e-08	2.97046e-09	7.68957e-10	3.31144e-10	
N3	4.81537e-09	1.65751e-08	7.9284e-08	3.93003e-07	1.86256e-06	8.18507e-06	3.28751e-05	0.000119747	0.000393718	0.00116487	0.00309435	0.00736719	0.0156986	0.029904	0.0508712	0.077219	0.104517	0.126073	0.135477	0.129662	0.110516	0.0838927	0.0567292	0.0341842	0.0183652	0.00880225	0.00376661	0.00144031	0.000492675	0.000150932	4.14711e-05	1.02388e-05	2.2775e-06	4.58478e-07	8.42583e-08	1.44031e-08	2.3907e-09	4.29695e-10	1.19164e-10	
POCUBR_Notaris_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.58491e-10	6.60201e-10	4.452e-09	3.15511e-08	2.08125e-07	1.23609e-06	6.53687e-06	3.06277e-05	0.000126761	0.000462432	0.00148442	0.00418684	0.0103632	0.0224857	0.0427287	0.0710534	0.103327	0.131336	0.145855	0.141488	0.119876	0.0887111	0.0573495	0.0323984	0.0160013	0.00691318	0.00261456	0.000866325	0.000251734	6.42181e-05	1.44002e-05	2.84248e-06	4.94786e-07	7.61348e-08	1.03996e-08	1.27391e-09	1.44907e-10	1.76705e-11	3.93584e-12	
N5	2.13368e-10	8.44791e-10	5.36089e-09	3.57623e-08	2.22367e-07	1.24903e-06	6.28006e-06	2.81621e-05	0.00011239	0.000398479	0.00125319	0.00349103	0.00860287	0.0187317	0.0359997	0.0610122	0.0911172	0.119836	0.138737	0.141349	0.12672	0.0999737	0.0694252	0.042454	0.0228739	0.0108668	0.00455598	0.00168744	0.00055277	0.000160355	4.12525e-05	9.42591e-06	1.91641e-06	3.47559e-07	5.64914e-08	8.33031e-09	1.15881e-09	1.74015e-10	4.43617e-11	
N6	5.05874e-38	1.53472e-35	5.21332e-33	1.66289e-30	4.77037e-28	1.20265e-25	2.62737e-23	4.92056e-21	7.81938e-19	1.04291e-16	1.1531e-14	1.04179e-12	7.56065e-11	4.3171e-09	1.89022e-07	6.14205e-06	0.000141881	0.00219701	0.0209684	0.108997	0.263686	0.321932	0.205268	0.066058	0.00989546	0.000807581	4.06375e-05	1.37141e-06	3.29203e-08	5.86851e-10	8.02816e-12	8.64907e-14	7.49461e-16	5.31823e-18	3.14298e-20	1.5772e-22	6.92897e-25	2.83069e-27	1.3712e-29	
POCUDR_Sphenophorus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
POCUDR_Metamasius_hemipterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
