#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
POCHCH_Timarcha_intricata: 23
POCHCH_Timarcha_metallica: 3
POCHCH_Timarcha_tenebricosa: 5
POCHCH_Timarcha_pimelioides: 11
N7: 2
N8: 2
POCHCH_Timarcha_strangulata: 7
N9: 1
N10: 2
POCHCH_Timarcha_espanoli: 2
N11: 1
POCHCH_Timarcha_rugosa: 1
POCHCH_Timarcha_ventricosa: 1
POCHCH_Timarcha_scabripennis: 4
POCHCH_Timarcha_intermedia: 1
N13: 1
N14: 1
POCHCH_Timarcha_calceata: 9
N17: 1
POCHCH_Timarcha_recticollis: 2
N18: 1
POCHCH_Timarcha_sinuaticollis: 1
POCHCH_Timarcha_maritima: 1
POCHCH_Timarcha_interstitialis: 1
POCHCH_Timarcha_goettingensis: 3
N23: 1
POCHCH_Timarcha_fallax: 2
N25: 1
N26: 2
POCHCH_Timarcha_montserratensis: 2
POCHCH_Timarcha_hispanica: 3
POCHCH_Timarcha_granadensis: 5
N29: 2
POCHCH_Timarcha_balearica: 3
POCHCH_Timarcha_insparsa: 1
Total number of gain events: 109
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N2: 4
POCHCH_Timarcha_marginicollis: 1
POCHCH_Timarcha_cornuta: 1
Total number of loss events: 6
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCHCH_Timarcha_intricata	23	0	0	0
N2	0	4	0	0
POCHCH_Timarcha_metallica	3	0	0	0
N3	0	0	0	0
N4	0	0	0	0
POCHCH_Timarcha_tenebricosa	5	0	0	0
POCHCH_Timarcha_pimelioides	11	0	0	0
N5	0	0	0	0
N6	0	0	0	0
N7	2	0	0	0
N8	2	0	0	0
POCHCH_Timarcha_strangulata	7	0	0	0
N9	1	0	0	0
N10	2	0	0	0
POCHCH_Timarcha_espanoli	2	0	0	0
N11	1	0	0	0
POCHCH_Timarcha_rugosa	1	0	0	0
POCHCH_Timarcha_ventricosa	1	0	0	0
POCHCH_Timarcha_scabripennis	4	0	0	0
N12	0	0	0	0
POCHCH_Timarcha_intermedia	1	0	0	0
N13	1	0	0	0
N14	1	0	0	0
POCHCH_Timarcha_marginicollis	0	1	0	0
POCHCH_Timarcha_calceata	9	0	0	0
POCHCH_Timarcha_lugens	0	0	0	0
N15	0	0	0	0
N16	0	0	0	0
N17	1	0	0	0
POCHCH_Timarcha_recticollis	2	0	0	0
N18	1	0	0	0
N19	0	0	0	0
POCHCH_Timarcha_cornuta	0	1	0	0
N20	0	0	0	0
POCHCH_Timarcha_sinuaticollis	1	0	0	0
POCHCH_Timarcha_maritima	1	0	0	0
POCHCH_Timarcha_interstitialis	1	0	0	0
POCHCH_Timarcha_goettingensis	3	0	0	0
N21	0	0	0	0
N22	0	0	0	0
N23	1	0	0	0
POCHCH_Timarcha_aurichalcea	0	0	0	0
POCHCH_Timarcha_fallax	2	0	0	0
N24	0	0	0	0
N25	1	0	0	0
N26	2	0	0	0
N27	0	0	0	0
POCHCH_Timarcha_cyanescens	0	0	0	0
N28	0	0	0	0
POCHCH_Timarcha_geniculata	0	0	0	0
POCHCH_Timarcha_perezi	0	0	0	0
