NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	
N1	0.290996	0.253001	0.19217	0.127611	0.0739393	0.0372493	0.0162473	0.00610935	0.00197253	0.00054496	0.000128465	2.5783e-05	4.39868e-06	6.37251e-07	7.83562e-08	8.17669e-09	7.24366e-10	5.45124e-11	3.48814e-12	1.90007e-13	2.43853e-17	4.85569e-18	8.94278e-19	1.52504e-19	2.41199e-20	3.54852e-21	4.89125e-22	6.44587e-23	8.63753e-24	1.56213e-24	
N2	0.136061	0.141669	0.142045	0.135815	0.122441	0.102979	0.0800904	0.0572096	0.0373492	0.0222095	0.0120026	0.0058869	0.00261849	0.00105593	0.000386065	0.000128009	3.85106e-05	1.05181e-05	2.60989e-06	5.88813e-07	1.20887e-07	2.26064e-08	3.8544e-09	5.99824e-10	8.53123e-11	1.11165e-11	1.3369e-12	1.53015e-13	1.91129e-14	4.36624e-15	
N3	0.0622153	0.0716525	0.0854606	0.101167	0.114593	0.121054	0.117364	0.103446	0.082448	0.0592414	0.0383131	0.0222842	0.0116533	0.00547924	0.00231706	0.000881663	0.000302059	9.3246e-05	2.59595e-05	6.52389e-06	1.48156e-06	3.04382e-07	5.66407e-08	9.55904e-09	1.46544e-09	2.04635e-10	2.62362e-11	3.18921e-12	4.22768e-13	1.01824e-13	
N4	0.00883235	0.0145491	0.0284404	0.0540321	0.0910968	0.131563	0.160423	0.164037	0.140161	0.099907	0.0593903	0.0294669	0.0122238	0.0042502	0.00124248	0.000306471	6.40323e-05	1.13789e-05	1.72719e-06	2.24895e-07	2.52283e-08	2.44858e-09	2.06478e-10	1.51898e-11	9.78895e-13	5.55167e-14	2.79134e-15	1.27127e-16	5.76337e-18	4.33275e-19	
N5	0.00346819	0.00798466	0.0213044	0.051157	0.101724	0.161136	0.199126	0.189804	0.138774	0.0776963	0.0333487	0.01101	0.00281007	0.000558005	8.68413e-05	1.06764e-05	1.04548e-06	8.22289e-08	5.23772e-09	2.7238e-10	1.16549e-11	4.13416e-13	1.22434e-14	3.04779e-16	6.41835e-18	1.15042e-19	1.76558e-21	2.33913e-23	2.78378e-25	4.93731e-27	
ADCACA_Cychrus_caraboides	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000525555	0.00157182	0.00595242	0.0202136	0.0552713	0.116499	0.185014	0.218473	0.1904	0.122076	0.0575941	0.020057	0.00518513	0.00100296	0.000146556	1.63535e-05	1.40947e-06	9.49239e-08	5.05275e-09	2.14933e-10	7.3836e-12	2.06885e-13	4.77231e-15	9.14211e-17	1.46625e-18	1.98383e-20	2.28044e-22	2.24402e-24	1.94272e-26	2.40388e-28	
ADCACA_Pamborus_opacus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ADCACA_Pamborus_tropicus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
