#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
N3: 1
POCUSC_Dendroctonus_jeffreyi: 8
POCUSC_Dendroctonus_ponderosae: 6
POCUSC_Dendroctonus_frontalis: 15
POCUSC_Dendroctonus_adjunctus: 3
POCUSC_Dendroctonus_approximatus: 5
POCUSC_Dendroctonus_brevicomis: 4
N8: 1
POCUSC_Dendroctonus_simplex: 9
POCUSC_Dendroctonus_pseudotsugae: 7
N10: 1
POCUSC_Dendroctonus_punctatus: 16
N11: 6
POCUSC_Dendroctonus_murrayanae: 7
N12: 8
POCUSC_Dendroctonus_valens: 1
POCUSC_Dendroctonus_terebrans: 12
Total number of gain events: 110
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
POCUSC_Dendroctonus_rufipennis: 2
Total number of loss events: 2
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	1	0	0	0
POCUSC_Dendroctonus_jeffreyi	8	0	0	0
POCUSC_Dendroctonus_ponderosae	6	0	0	0
N4	0	0	0	0
POCUSC_Dendroctonus_frontalis	15	0	0	0
N5	0	0	0	0
POCUSC_Dendroctonus_adjunctus	3	0	0	0
N6	0	0	0	0
POCUSC_Dendroctonus_approximatus	5	0	0	0
POCUSC_Dendroctonus_brevicomis	4	0	0	0
N7	0	0	0	0
N8	1	0	0	0
POCUSC_Dendroctonus_simplex	9	0	0	0
POCUSC_Dendroctonus_pseudotsugae	7	0	0	0
N9	0	0	0	0
N10	1	0	0	0
POCUSC_Dendroctonus_punctatus	16	0	0	0
N11	6	0	0	0
POCUSC_Dendroctonus_rufipennis	0	2	0	0
POCUSC_Dendroctonus_murrayanae	7	0	0	0
N12	8	0	0	0
POCUSC_Dendroctonus_valens	1	0	0	0
POCUSC_Dendroctonus_terebrans	12	0	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCUSC_Dendroctonus_jeffreyi	9	0	0	0
POCUSC_Dendroctonus_ponderosae	7	0	0	0
POCUSC_Dendroctonus_frontalis	15	0	0	0
POCUSC_Dendroctonus_adjunctus	3	0	0	0
POCUSC_Dendroctonus_approximatus	5	0	0	0
POCUSC_Dendroctonus_brevicomis	4	0	0	0
POCUSC_Dendroctonus_simplex	10	0	0	0
POCUSC_Dendroctonus_pseudotsugae	8	0	0	0
POCUSC_Dendroctonus_punctatus	17	0	0	0
POCUSC_Dendroctonus_rufipennis	7	2	0	0
POCUSC_Dendroctonus_murrayanae	14	0	0	0
POCUSC_Dendroctonus_valens	9	0	0	0
POCUSC_Dendroctonus_terebrans	20	0	0	0
