NODE	6	7	8	9	10	11	12	13	14	15	16	17	18	19	
N1	0.0714192	0.0714198	0.0714209	0.0714224	0.0714242	0.0714262	0.0714282	0.0714301	0.0714319	0.0714335	0.0714347	0.0714357	0.0714363	0.0714366	
POELCA_Cardiophorus_sp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N2	0.053514	0.0569687	0.0600766	0.0628359	0.0652791	0.067473	0.069518	0.0715446	0.0737097	0.0761919	0.0791857	0.0828951	0.0875266	0.0932811	
N3	0.0488721	0.0522313	0.0554963	0.058673	0.0617871	0.0648847	0.0680323	0.0713153	0.0748357	0.0787093	0.0830623	0.0880276	0.0937402	0.100333	
POELDE_Athous_sp	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0476827	0.0510206	0.0543317	0.0576225	0.0609154	0.0642494	0.0676806	0.0712817	0.0751402	0.0793566	0.0840412	0.0893108	0.0952851	0.102082	
N5	0.0352867	0.0384466	0.0423223	0.0469138	0.0521838	0.0580674	0.064484	0.0713511	0.0785963	0.0861663	0.0940307	0.10218	0.110618	0.119354	
POELAG_Agrypnus_sp	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
POELAG_Chalcolepidius_sp	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
N6	0.0440943	0.0473651	0.0508103	0.0544399	0.0582672	0.0623111	0.0665978	0.0711622	0.0760483	0.0813094	0.0870065	0.0932068	0.0999809	0.1074	
N7	0.0676251	0.0725571	0.0773292	0.0813496	0.0839355	0.0845245	0.0828586	0.0790836	0.0737403	0.0676638	0.0618381	0.0572588	0.0548431	0.0553928	
POELAG_Lacon_sp	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
POELAG_Adelocera_sp_M	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N8	0.0416946	0.044925	0.0484681	0.0523342	0.0565283	0.0610531	0.0659126	0.071115	0.0766754	0.0826165	0.0889688	0.0957691	0.103059	0.110881	
N9	0.0260246	0.0287829	0.0325786	0.0375077	0.0436383	0.0509953	0.0595468	0.0691951	0.0797742	0.0910557	0.102762	0.114584	0.126209	0.137346	
POELEL_Elater_sp	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
POELME_Melanotus_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
N10	0.0481952	0.051726	0.0553631	0.0590458	0.0626962	0.0662394	0.0696277	0.072864	0.0760196	0.0792413	0.0827456	0.0868016	0.0917022	0.0977322	
POELEL_Agriotes_sputator	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
N11	0.0446916	0.0525039	0.0647951	0.0801143	0.0954903	0.106957	0.110946	0.105885	0.0930087	0.0758095	0.0584855	0.0443715	0.0352439	0.0316971	
POELEL_Agriotes_obscurus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
POELEL_Agriotes_lineatus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
POELDE_Limonius_sp	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
