NODE	27	28	29	30	31	32	33	34	35	36	
N1	5.87789e-06	0.000135734	0.00102816	0.00483333	0.0168076	0.0461635	0.102999	0.188909	0.285504	0.353614	
N2	3.60282e-05	0.000419411	0.00226348	0.00864351	0.0258349	0.0625211	0.124135	0.203061	0.273179	0.299906	
N3	7.52759e-05	0.000825467	0.00403078	0.0135898	0.0356353	0.0761852	0.135717	0.20344	0.257238	0.273263	
ADCAHA_Pterostichus_melanarius	0	1	0	0	0	0	0	0	0	0	
N4	0.000639942	0.00531401	0.01814	0.0419748	0.0765804	0.117562	0.157192	0.186974	0.200502	0.195121	
ADCAHA_Pterostichus_herculeanus	0	0	0	1	0	0	0	0	0	0	
ADCAHA_Pterostichus_angustus	0	0	1	0	0	0	0	0	0	0	
N5	7.77992e-05	0.000814761	0.00386516	0.012977	0.0343872	0.0746028	0.134631	0.203693	0.25903	0.275922	
N6	0.000218526	0.00208205	0.00854918	0.0241155	0.0532131	0.0968794	0.149625	0.199334	0.231335	0.234648	
N7	0.00158977	0.0137914	0.0479823	0.105701	0.166553	0.197293	0.181676	0.13566	0.0890793	0.0606743	
ADCAHA_Pterostichus_ziegleri	0	0	0	0	1	0	0	0	0	0	
N8	0.00100177	0.0120493	0.0545987	0.139647	0.224912	0.239429	0.175242	0.0933252	0.0405861	0.0192092	
N9	0.00138227	0.0159966	0.068482	0.163346	0.24275	0.235876	0.155802	0.0742258	0.0291009	0.013038	
ADCAHA_Pterostichus_flavofemoratus	0	0	1	0	0	0	0	0	0	0	
ADCAHA_Pterostichus_globosus	0	0	0	0	1	0	0	0	0	0	
ADCAHA_Pterostichus_spinolae	0	0	0	0	0	1	0	0	0	0	
N10	0.00169386	0.0131795	0.0404691	0.0811098	0.123887	0.154789	0.165502	0.157686	0.140034	0.121649	
ADCAHA_Pterostichus_interruptus	0	0	1	0	0	0	0	0	0	0	
ADCAHA_Pterostichus_niger	0	1	0	0	0	0	0	0	0	0	
N11	8.34656e-05	0.00105123	0.00544775	0.0182494	0.0455714	0.0904465	0.147872	0.203898	0.241018	0.246361	
N12	9.77297e-05	0.00120666	0.00607713	0.0197305	0.047862	0.092744	0.148924	0.20285	0.238028	0.24248	
N13	9.7561e-10	7.5851e-08	3.21917e-06	8.80526e-05	0.00155001	0.0166741	0.0998629	0.289594	0.352512	0.239716	
ADCAHA_Pterostichus_nigrita	0	0	0	0	0	0	0	0	1	0	
ADCAHA_Pterostichus_anthracinus	0	0	0	0	0	0	0	1	0	0	
ADCAHA_Pterostichus_aterrimus	0	0	1	0	0	0	0	0	0	0	
N14	0.000964544	0.00799982	0.0269146	0.0599269	0.102074	0.141899	0.167747	0.174808	0.166705	0.150961	
ADCAHA_Pterostichus_alacer	0	1	0	0	0	0	0	0	0	0	
ADCAHA_Pterostichus_nemoralis	0	0	1	0	0	0	0	0	0	0	
ADCAHA_Pterostichus_oblongopunctatus	0	0	0	1	0	0	0	0	0	0	
