#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
ADCAHA_Pterostichus_spinolae: 2
Total number of gain events: 2
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N6: 4
ADCAHA_Pterostichus_interruptus: 2
ADCAHA_Pterostichus_niger: 2
N7: 4
ADCAHA_Pterostichus_ziegleri: 3
ADCAHA_Pterostichus_globosus: 3
N10: 2
N11: 1
N12: 1
N13: 1
ADCAHA_Pterostichus_nigrita: 1
ADCAHA_Pterostichus_anthracinus: 1
ADCAHA_Pterostichus_alacer: 3
ADCAHA_Pterostichus_aterrimus: 4
ADCAHA_Pterostichus_nemoralis: 5
ADCAHA_Pterostichus_melanarius: 6
N14: 1
ADCAHA_Pterostichus_angustus: 4
ADCAHA_Pterostichus_herculeanus: 4
ADCAHA_Pterostichus_oblongopunctatus: 5
Total number of loss events: 57
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	0	0	0	0
N4	0	0	0	0
N5	0	0	0	0
N6	0	4	0	0
ADCAHA_Pterostichus_interruptus	0	2	0	0
ADCAHA_Pterostichus_niger	0	2	0	0
N7	0	4	0	0
ADCAHA_Pterostichus_ziegleri	0	3	0	0
N8	0	0	0	0
N9	0	0	0	0
ADCAHA_Pterostichus_spinolae	2	0	0	0
ADCAHA_Pterostichus_globosus	0	3	0	0
ADCAHA_Pterostichus_flavofemoratus	0	0	0	0
N10	0	2	0	0
N11	0	1	0	0
N12	0	1	0	0
N13	0	1	0	0
ADCAHA_Pterostichus_nigrita	0	1	0	0
ADCAHA_Pterostichus_anthracinus	0	1	0	0
ADCAHA_Pterostichus_alacer	0	3	0	0
ADCAHA_Pterostichus_aterrimus	0	4	0	0
ADCAHA_Pterostichus_nemoralis	0	5	0	0
ADCAHA_Pterostichus_melanarius	0	6	0	0
N14	0	1	0	0
ADCAHA_Pterostichus_angustus	0	4	0	0
ADCAHA_Pterostichus_herculeanus	0	4	0	0
ADCAHA_Pterostichus_oblongopunctatus	0	5	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
ADCAHA_Pterostichus_interruptus	0	6	0	0
ADCAHA_Pterostichus_niger	0	6	0	0
ADCAHA_Pterostichus_ziegleri	0	7	0	0
ADCAHA_Pterostichus_spinolae	2	4	0	0
ADCAHA_Pterostichus_globosus	0	7	0	0
ADCAHA_Pterostichus_flavofemoratus	0	4	0	0
ADCAHA_Pterostichus_nigrita	0	6	0	0
ADCAHA_Pterostichus_anthracinus	0	6	0	0
ADCAHA_Pterostichus_alacer	0	7	0	0
ADCAHA_Pterostichus_aterrimus	0	7	0	0
ADCAHA_Pterostichus_nemoralis	0	7	0	0
ADCAHA_Pterostichus_melanarius	0	6	0	0
ADCAHA_Pterostichus_angustus	0	5	0	0
ADCAHA_Pterostichus_herculeanus	0	5	0	0
ADCAHA_Pterostichus_oblongopunctatus	0	5	0	0
