#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
POCHCH_Timarcha_intricata: 1
POCHCH_Timarcha_metallica: 5
POCHCH_Timarcha_tenebricosa: 10
POCHCH_Timarcha_insparsa: 5
POCHCH_Timarcha_balearica: 5
POCHCH_Timarcha_lugens: 3
POCHCH_Timarcha_marginicollis: 6
POCHCH_Timarcha_calceata: 3
POCHCH_Timarcha_intermedia: 1
POCHCH_Timarcha_scabripennis: 1
POCHCH_Timarcha_strangulata: 2
N14: 5
N15: 4
POCHCH_Timarcha_rugosa: 1
POCHCH_Timarcha_granadensis: 3
POCHCH_Timarcha_fallax: 5
POCHCH_Timarcha_aurichalcea: 2
POCHCH_Timarcha_hispanica: 5
POCHCH_Timarcha_montserratensis: 3
POCHCH_Timarcha_cyanescens: 5
N24: 2
POCHCH_Timarcha_perezi: 1
POCHCH_Timarcha_gougeleti: 2
POCHCH_Timarcha_recticollis: 4
POCHCH_Timarcha_cornuta: 2
POCHCH_Timarcha_sinuaticollis: 1
N29: 2
POCHCH_Timarcha_goettingensis: 2
POCHCH_Timarcha_pimelioides: 2
Total number of gain events: 93
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
POCHCH_Timarcha_ventricosa: 2
Total number of loss events: 2
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCHCH_Timarcha_intricata	1	0	0	0
N2	0	0	0	0
POCHCH_Timarcha_metallica	5	0	0	0
N3	0	0	0	0
POCHCH_Timarcha_tenebricosa	10	0	0	0
N4	0	0	0	0
N5	0	0	0	0
N6	0	0	0	0
POCHCH_Timarcha_insparsa	5	0	0	0
POCHCH_Timarcha_balearica	5	0	0	0
N7	0	0	0	0
N8	0	0	0	0
N9	0	0	0	0
POCHCH_Timarcha_lugens	3	0	0	0
N10	0	0	0	0
POCHCH_Timarcha_marginicollis	6	0	0	0
POCHCH_Timarcha_calceata	3	0	0	0
N11	0	0	0	0
POCHCH_Timarcha_intermedia	1	0	0	0
N12	0	0	0	0
N13	0	0	0	0
POCHCH_Timarcha_scabripennis	1	0	0	0
POCHCH_Timarcha_strangulata	2	0	0	0
N14	5	0	0	0
POCHCH_Timarcha_ventricosa	0	2	0	0
N15	4	0	0	0
POCHCH_Timarcha_rugosa	1	0	0	0
POCHCH_Timarcha_espanoli	0	0	0	0
N16	0	0	0	0
N17	0	0	0	0
POCHCH_Timarcha_granadensis	3	0	0	0
N18	0	0	0	0
N19	0	0	0	0
POCHCH_Timarcha_fallax	5	0	0	0
POCHCH_Timarcha_aurichalcea	2	0	0	0
N20	0	0	0	0
POCHCH_Timarcha_hispanica	5	0	0	0
N21	0	0	0	0
POCHCH_Timarcha_montserratensis	3	0	0	0
N22	0	0	0	0
N23	0	0	0	0
POCHCH_Timarcha_cyanescens	5	0	0	0
N24	2	0	0	0
POCHCH_Timarcha_perezi	1	0	0	0
POCHCH_Timarcha_geniculata	0	0	0	0
POCHCH_Timarcha_gougeleti	2	0	0	0
N25	0	0	0	0
N26	0	0	0	0
POCHCH_Timarcha_recticollis	4	0	0	0
N27	0	0	0	0
POCHCH_Timarcha_cornuta	2	0	0	0
N28	0	0	0	0
POCHCH_Timarcha_sinuaticollis	1	0	0	0
N29	2	0	0	0
POCHCH_Timarcha_interstitialis	0	0	0	0
POCHCH_Timarcha_maritima	0	0	0	0
POCHCH_Timarcha_goettingensis	2	0	0	0
POCHCH_Timarcha_pimelioides	2	0	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCHCH_Timarcha_intricata	1	0	0	0
POCHCH_Timarcha_metallica	5	0	0	0
POCHCH_Timarcha_tenebricosa	10	0	0	0
POCHCH_Timarcha_insparsa	5	0	0	0
POCHCH_Timarcha_balearica	5	0	0	0
POCHCH_Timarcha_lugens	3	0	0	0
POCHCH_Timarcha_marginicollis	6	0	0	0
POCHCH_Timarcha_calceata	3	0	0	0
POCHCH_Timarcha_intermedia	1	0	0	0
POCHCH_Timarcha_scabripennis	1	0	0	0
POCHCH_Timarcha_strangulata	2	0	0	0
POCHCH_Timarcha_ventricosa	5	2	0	0
POCHCH_Timarcha_rugosa	10	0	0	0
POCHCH_Timarcha_espanoli	9	0	0	0
POCHCH_Timarcha_granadensis	3	0	0	0
POCHCH_Timarcha_fallax	5	0	0	0
POCHCH_Timarcha_aurichalcea	2	0	0	0
POCHCH_Timarcha_hispanica	5	0	0	0
POCHCH_Timarcha_montserratensis	3	0	0	0
POCHCH_Timarcha_cyanescens	5	0	0	0
POCHCH_Timarcha_perezi	3	0	0	0
POCHCH_Timarcha_geniculata	2	0	0	0
POCHCH_Timarcha_gougeleti	2	0	0	0
POCHCH_Timarcha_recticollis	4	0	0	0
POCHCH_Timarcha_cornuta	2	0	0	0
POCHCH_Timarcha_sinuaticollis	1	0	0	0
POCHCH_Timarcha_interstitialis	2	0	0	0
POCHCH_Timarcha_maritima	2	0	0	0
POCHCH_Timarcha_goettingensis	2	0	0	0
POCHCH_Timarcha_pimelioides	2	0	0	0
